ModelName,DS-5622A
FileVersion,6
Acquisition Time,2026/07/16 12:11:19
Time/div(second),2E-03
Delay(second),-6.00E-03
Delta(second),20E-06
Acquisition Mode,Average,1024
Trigger Address,200
CH1 Display,On
CH2 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,1.00E+00
CH1 Offset,7.00E-03
CH2 Offset,-3.00E+00
CH1 Coupling,DC50
CH2 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
Points,1001
Ch1 V,Ch2 V
-1.101E-04,-7.324E-03,,
-1.042E-04,-6.958E-03,,
-1.193E-04,-6.958E-03,,
-1.032E-04,-6.469E-03,,
-1.196E-04,-7.690E-03,,
-1.101E-04,-7.202E-03,,
-1.203E-04,-6.591E-03,,
-1.132E-04,-6.835E-03,,
-1.130E-04,-7.934E-03,,
-1.066E-04,-6.958E-03,,
-1.169E-04,-6.958E-03,,
-1.064E-04,-7.446E-03,,
-1.166E-04,-7.812E-03,,
-1.069E-04,-7.324E-03,,
-1.174E-04,-6.469E-03,,
-1.096E-04,-7.690E-03,,
-1.098E-04,-7.812E-03,,
-1.064E-04,-6.713E-03,,
-1.103E-04,-6.713E-03,,
-1.064E-04,-7.324E-03,,
-1.101E-04,-6.713E-03,,
-1.079E-04,-6.958E-03,,
-1.130E-04,-7.324E-03,,
-1.137E-04,-6.958E-03,,
-1.142E-04,-7.568E-03,,
-1.096E-04,-7.202E-03,,
-1.123E-04,-7.202E-03,,
-1.127E-04,-7.202E-03,,
-1.091E-04,-6.835E-03,,
-1.083E-04,-7.324E-03,,
-1.140E-04,-7.568E-03,,
-1.152E-04,-6.835E-03,,
-1.062E-04,-7.324E-03,,
-1.127E-04,-7.324E-03,,
-1.083E-04,-7.324E-03,,
-1.130E-04,-8.300E-03,,
-1.123E-04,-7.080E-03,,
-1.132E-04,-7.690E-03,,
-1.110E-04,-7.080E-03,,
-1.125E-04,-7.934E-03,,
-1.127E-04,-7.568E-03,,
-1.130E-04,-7.080E-03,,
-1.137E-04,-7.324E-03,,
-1.191E-04,-7.080E-03,,
-1.083E-04,-7.202E-03,,
-1.164E-04,-7.934E-03,,
-1.064E-04,-7.202E-03,,
-1.228E-04,-7.568E-03,,
-1.137E-04,-7.324E-03,,
-1.220E-04,-7.568E-03,,
-1.118E-04,-6.835E-03,,
-1.157E-04,-7.080E-03,,
-1.030E-04,-7.080E-03,,
-1.181E-04,-8.056E-03,,
-1.147E-04,-8.300E-03,,
-1.179E-04,-6.591E-03,,
-1.113E-04,-8.056E-03,,
-1.188E-04,-7.568E-03,,
-1.069E-04,-7.446E-03,,
-1.149E-04,-7.446E-03,,
-1.147E-04,-6.713E-03,,
-1.198E-04,-7.934E-03,,
-1.123E-04,-6.958E-03,,
-1.108E-04,-7.324E-03,,
-1.184E-04,-8.544E-03,,
-1.220E-04,-7.812E-03,,
-1.118E-04,-6.469E-03,,
-1.154E-04,-7.080E-03,,
-1.086E-04,-7.202E-03,,
-1.174E-04,-7.690E-03,,
-1.130E-04,-7.690E-03,,
-1.164E-04,-7.080E-03,,
-1.159E-04,-7.568E-03,,
-1.223E-04,-6.958E-03,,
-1.162E-04,-7.568E-03,,
-1.120E-04,-7.324E-03,,
-1.157E-04,-7.080E-03,,
-1.074E-04,-8.056E-03,,
-1.147E-04,-6.958E-03,,
-1.174E-04,-7.324E-03,,
-1.193E-04,-7.568E-03,,
-1.127E-04,-6.591E-03,,
-1.127E-04,-6.713E-03,,
-1.103E-04,-6.713E-03,,
-1.208E-04,-6.958E-03,,
-1.083E-04,-6.469E-03,,
-1.230E-04,-6.347E-03,,
-1.096E-04,-7.324E-03,,
-1.230E-04,-7.202E-03,,
-1.149E-04,-6.713E-03,,
-1.188E-04,-7.080E-03,,
-1.184E-04,-7.202E-03,,
-1.196E-04,-6.835E-03,,
-1.071E-04,-7.202E-03,,
-1.118E-04,-7.446E-03,,
-1.159E-04,-6.835E-03,,
-1.157E-04,-8.056E-03,,
-1.176E-04,-6.958E-03,,
-1.186E-04,-7.690E-03,,
-1.203E-04,-7.324E-03,,
-1.179E-04,-8.056E-03,,
-1.179E-04,-7.446E-03,,
-1.120E-04,-7.446E-03,,
-1.130E-04,-8.056E-03,,
-1.206E-04,-7.202E-03,,
-1.157E-04,-7.934E-03,,
-1.108E-04,-7.690E-03,,
-1.147E-04,-7.568E-03,,
-1.176E-04,-7.812E-03,,
-1.120E-04,-7.812E-03,,
-1.035E-04,-6.469E-03,,
-1.218E-04,-7.446E-03,,
-1.103E-04,-7.080E-03,,
-1.083E-04,-7.568E-03,,
-1.066E-04,-6.713E-03,,
-1.103E-04,-7.080E-03,,
-1.086E-04,-6.958E-03,,
-1.096E-04,-7.202E-03,,
-1.093E-04,-7.690E-03,,
-1.076E-04,-6.713E-03,,
-1.130E-04,-7.202E-03,,
-1.210E-04,-7.202E-03,,
-1.171E-04,-7.324E-03,,
-1.142E-04,-6.835E-03,,
-1.098E-04,-7.568E-03,,
-1.201E-04,-7.446E-03,,
-1.166E-04,-8.178E-03,,
-1.164E-04,-8.300E-03,,
-1.140E-04,-7.324E-03,,
-1.196E-04,-7.324E-03,,
-1.135E-04,-7.202E-03,,
-1.076E-04,-7.812E-03,,
-1.096E-04,-7.324E-03,,
-1.120E-04,-6.591E-03,,
-1.115E-04,-7.202E-03,,
-1.169E-04,-6.469E-03,,
-1.130E-04,-7.568E-03,,
-1.137E-04,-7.202E-03,,
-1.125E-04,-7.446E-03,,
-1.103E-04,-7.202E-03,,
-1.159E-04,-7.446E-03,,
-1.110E-04,-7.690E-03,,
-1.147E-04,-7.812E-03,,
-1.062E-04,-7.812E-03,,
