ModelName,DS-5624A
FileVersion,6
Acquisition Time,2022/07/19 17:16:06
Time/div(second),2E-03
Delay(second),-6.04E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,99
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,200E-03
CH3 Volt/div,100E-03
CH4 Volt/div,1.00E+00
CH1 Offset,5.88E-03
CH2 Offset,100E-03
CH3 Offset,-50.0E-03
CH4 Offset,-1.52E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-9.704E-05,,,2.366E-02
-9.875E-05,,,2.268E-02
-8.312E-05,,,2.341E-02
-8.312E-05,,,2.256E-02
-8.556E-05,,,2.268E-02
-8.678E-05,,,2.317E-02
-9.069E-05,,,2.305E-02
-9.777E-05,,,2.280E-02
-8.800E-05,,,2.231E-02
-9.313E-05,,,2.305E-02
-8.678E-05,,,2.268E-02
-8.434E-05,,,2.280E-02
-8.410E-05,,,2.305E-02
-9.459E-05,,,2.341E-02
-9.728E-05,,,2.244E-02
-8.263E-05,,,2.305E-02
-8.361E-05,,,2.317E-02
-8.703E-05,,,2.354E-02
-9.386E-05,,,2.305E-02
-9.411E-05,,,2.280E-02
-8.507E-05,,,2.268E-02
-9.875E-05,,,2.305E-02
-8.410E-05,,,2.244E-02
-8.239E-05,,,2.280E-02
-8.849E-05,,,2.280E-02
-8.654E-05,,,2.305E-02
-9.801E-05,,,2.390E-02
-8.019E-05,,,2.366E-02
-8.361E-05,,,2.305E-02
-8.849E-05,,,2.354E-02
-8.166E-05,,,2.329E-02
-8.581E-05,,,2.366E-02
-8.288E-05,,,2.305E-02
-8.312E-05,,,2.268E-02
-8.410E-05,,,2.305E-02
-8.336E-05,,,2.280E-02
-8.605E-05,,,2.402E-02
-9.484E-05,,,2.256E-02
-8.410E-05,,,2.415E-02
-8.507E-05,,,2.341E-02
-8.825E-05,,,2.366E-02
-8.068E-05,,,2.427E-02
-9.679E-05,,,2.317E-02
-8.239E-05,,,2.280E-02
-8.239E-05,,,2.402E-02
-8.654E-05,,,2.341E-02
-8.922E-05,,,2.366E-02
-9.508E-05,,,2.354E-02
-8.629E-05,,,2.354E-02
-8.678E-05,,,2.427E-02
-8.629E-05,,,2.402E-02
-9.264E-05,,,2.402E-02
-8.117E-05,,,2.354E-02
-7.970E-05,,,2.415E-02
-8.678E-05,,,2.354E-02
-8.581E-05,,,2.402E-02
-9.972E-05,,,2.390E-02
-7.873E-05,,,2.427E-02
-8.166E-05,,,2.317E-02
-8.556E-05,,,2.390E-02
-9.044E-05,,,2.317E-02
-8.654E-05,,,2.378E-02
-8.312E-05,,,2.341E-02
-8.507E-05,,,2.366E-02
-8.825E-05,,,2.378E-02
-8.434E-05,,,2.439E-02
-9.850E-05,,,2.402E-02
-8.166E-05,,,2.305E-02
-8.141E-05,,,2.390E-02
-9.752E-05,,,2.305E-02
-9.679E-05,,,2.317E-02
-8.605E-05,,,2.402E-02
-9.362E-05,,,2.329E-02
-9.777E-05,,,2.280E-02
-8.947E-05,,,2.305E-02
-8.922E-05,,,2.305E-02
-8.214E-05,,,2.292E-02
-9.069E-05,,,2.305E-02
-7.946E-05,,,2.354E-02
-8.947E-05,,,2.292E-02
-8.581E-05,,,2.366E-02
-8.434E-05,,,2.415E-02
-9.826E-05,,,2.317E-02
-8.751E-05,,,2.292E-02
-8.532E-05,,,2.317E-02
-9.020E-05,,,2.390E-02
-8.385E-05,,,2.329E-02
-8.678E-05,,,2.280E-02
-9.655E-05,,,2.292E-02
-8.288E-05,,,2.317E-02
-9.118E-05,,,2.329E-02
-8.800E-05,,,2.317E-02
-8.800E-05,,,2.292E-02
-8.532E-05,,,2.244E-02
-8.068E-05,,,2.317E-02
-8.678E-05,,,2.097E-02
-9.191E-05,,,2.012E-02
-9.606E-05,,,2.195E-02
-3.453E-04,,,1.088E+00
