ModelName,DS-5624A
FileVersion,6
Acquisition Time,2022/07/19 18:04:31
Time/div(second),2E-03
Delay(second),-6.04E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,99
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,200E-03
CH3 Volt/div,100E-03
CH4 Volt/div,1.00E+00
CH1 Offset,5.88E-03
CH2 Offset,100E-03
CH3 Offset,-50.0E-03
CH4 Offset,-1.52E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-8.166E-05,,,2.390E-02
-7.848E-05,,,2.341E-02
-7.799E-05,,,2.366E-02
-7.824E-05,,,2.354E-02
-7.873E-05,,,2.451E-02
-7.238E-05,,,2.390E-02
-7.873E-05,,,2.378E-02
-8.166E-05,,,2.256E-02
-8.312E-05,,,2.341E-02
-7.506E-05,,,2.415E-02
-7.433E-05,,,2.329E-02
-7.848E-05,,,2.378E-02
-7.531E-05,,,2.341E-02
-7.653E-05,,,2.366E-02
-7.628E-05,,,2.317E-02
-8.263E-05,,,2.354E-02
-9.435E-05,,,2.305E-02
-7.799E-05,,,2.341E-02
-8.092E-05,,,2.354E-02
-8.947E-05,,,2.317E-02
-8.312E-05,,,2.244E-02
-8.703E-05,,,2.292E-02
-8.483E-05,,,2.292E-02
-8.214E-05,,,2.280E-02
-8.141E-05,,,2.317E-02
-8.239E-05,,,2.244E-02
-8.776E-05,,,2.268E-02
-8.458E-05,,,2.280E-02
-8.996E-05,,,2.292E-02
-7.482E-05,,,2.256E-02
-7.873E-05,,,2.256E-02
-8.507E-05,,,2.317E-02
-8.458E-05,,,2.305E-02
-9.386E-05,,,2.292E-02
-8.214E-05,,,2.292E-02
-8.654E-05,,,2.317E-02
-8.141E-05,,,2.305E-02
-8.727E-05,,,2.292E-02
-7.897E-05,,,2.317E-02
-7.921E-05,,,2.341E-02
-8.605E-05,,,2.280E-02
-7.897E-05,,,2.317E-02
-9.484E-05,,,2.219E-02
-7.604E-05,,,2.317E-02
-7.970E-05,,,2.256E-02
-1.080E-04,,,2.268E-02
-8.507E-05,,,2.268E-02
-7.775E-05,,,2.329E-02
-9.655E-05,,,2.366E-02
-7.628E-05,,,2.305E-02
-8.166E-05,,,2.366E-02
-8.312E-05,,,2.329E-02
-7.677E-05,,,2.354E-02
-8.117E-05,,,2.463E-02
-7.555E-05,,,2.256E-02
-8.434E-05,,,2.451E-02
-7.677E-05,,,2.305E-02
-7.287E-05,,,2.341E-02
-7.921E-05,,,2.317E-02
-9.508E-05,,,2.354E-02
-7.433E-05,,,2.292E-02
-8.239E-05,,,2.451E-02
-8.288E-05,,,2.354E-02
-9.166E-05,,,2.354E-02
-7.921E-05,,,2.427E-02
-7.897E-05,,,2.378E-02
-8.581E-05,,,2.329E-02
-7.311E-05,,,2.366E-02
-7.824E-05,,,2.329E-02
-7.604E-05,,,2.317E-02
-7.995E-05,,,2.341E-02
-7.848E-05,,,2.390E-02
-7.897E-05,,,2.439E-02
-7.799E-05,,,2.354E-02
-8.190E-05,,,2.415E-02
-7.433E-05,,,2.439E-02
-7.726E-05,,,2.439E-02
-7.775E-05,,,2.415E-02
-7.799E-05,,,2.268E-02
-7.970E-05,,,2.329E-02
-8.947E-05,,,2.366E-02
-7.970E-05,,,2.329E-02
-8.043E-05,,,2.427E-02
-8.043E-05,,,2.378E-02
-7.531E-05,,,2.402E-02
-9.118E-05,,,2.402E-02
-9.240E-05,,,2.402E-02
-8.581E-05,,,2.366E-02
-8.312E-05,,,2.341E-02
-7.946E-05,,,2.341E-02
-7.946E-05,,,2.378E-02
-7.799E-05,,,2.366E-02
-8.190E-05,,,2.366E-02
-7.189E-05,,,2.341E-02
-7.433E-05,,,2.292E-02
-8.727E-05,,,2.195E-02
-7.628E-05,,,1.987E-02
-7.873E-05,,,2.170E-02
-2.589E-04,,,1.095E+00
-3.804E-04,,,2.988E-02
-4.039E-04,,,2.354E-02
-3.716E-04,,,2.415E-02
-3.682E-04,,,2.402E-02
-3.529E-04,,,2.402E-02
-3.153E-04,,,2.378E-02
-4.171E-04,,,2.341E-02
-3.626E-04,,,2.317E-02
-3.091E-04,,,2.427E-02
-3.529E-04,,,2.329E-02
-3.619E-04,,,2.354E-02
-3.416E-04,,,2.354E-02
-3.775E-04,,,2.354E-02
-3.362E-04,,,2.305E-02
-3.670E-04,,,2.317E-02
-3.255E-04,,,2.378E-02
-2.943E-04,,,2.329E-02
-2.916E-04,,,2.354E-02
-3.001E-04,,,2.366E-02
-3.360E-04,,,2.329E-02
-2.694E-04,,,2.317E-02
-3.255E-04,,,2.244E-02
-2.925E-04,,,2.305E-02
-2.791E-04,,,2.317E-02
-2.359E-04,,,2.305E-02
-2.474E-04,,,2.280E-02
-2.584E-04,,,2.366E-02
-2.669E-04,,,2.305E-02
-2.547E-04,,,2.292E-02
-2.488E-04,,,2.244E-02
-2.808E-04,,,2.366E-02
-2.188E-04,,,2.317E-02
-3.052E-04,,,2.317E-02
-2.171E-04,,,2.280E-02
-2.237E-04,,,2.268E-02
-1.929E-04,,,2.354E-02
-2.235E-04,,,2.366E-02
-2.073E-04,,,2.256E-02
-2.818E-04,,,2.329E-02
-2.349E-04,,,2.415E-02
-2.200E-04,,,2.427E-02
-2.398E-04,,,2.366E-02
-2.403E-04,,,2.329E-02
-3.143E-04,,,2.390E-02
-2.437E-04,,,2.317E-02
-2.100E-04,,,2.341E-02
-1.734E-04,,,2.280E-02
-1.834E-04,,,2.341E-02
-2.589E-04,,,2.292E-02
-2.523E-04,,,2.427E-02
-2.488E-04,,,2.390E-02
-2.286E-04,,,2.280E-02
-2.474E-04,,,2.378E-02
-2.374E-04,,,2.341E-02
-1.768E-04,,,2.341E-02
-2.296E-04,,,2.354E-02
-1.932E-04,,,2.366E-02
-2.186E-04,,,2.390E-02
-2.220E-04,,,2.390E-02
-1.717E-04,,,2.415E-02
-1.563E-04,,,2.390E-02
-2.445E-04,,,2.390E-02
-1.837E-04,,,2.354E-02
-1.758E-04,,,2.439E-02
-1.876E-04,,,2.415E-02
-1.993E-04,,,2.378E-02
-1.568E-04,,,2.366E-02
-1.741E-04,,,2.402E-02
-1.773E-04,,,2.366E-02
-1.546E-04,,,2.390E-02
