ModelName,DS-5624A
FileVersion,6
Acquisition Time,2022/07/19 14:11:59
Time/div(second),2E-03
Delay(second),-6.04E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,99
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,200E-03
CH3 Volt/div,100E-03
CH4 Volt/div,1.00E+00
CH1 Offset,5.88E-03
CH2 Offset,100E-03
CH3 Offset,-50.0E-03
CH4 Offset,-1.52E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-8.654E-05,,,2.476E-02
-7.091E-05,,,2.537E-02
-7.042E-05,,,2.463E-02
-6.920E-05,,,2.451E-02
-6.652E-05,,,2.439E-02
-8.678E-05,,,2.378E-02
-7.604E-05,,,2.500E-02
-7.604E-05,,,2.451E-02
-9.240E-05,,,2.402E-02
-7.506E-05,,,2.512E-02
-7.458E-05,,,2.524E-02
-7.067E-05,,,2.451E-02
-7.311E-05,,,2.500E-02
-7.213E-05,,,2.439E-02
-6.969E-05,,,2.488E-02
-9.093E-05,,,2.378E-02
-7.360E-05,,,2.451E-02
-7.165E-05,,,2.439E-02
-7.165E-05,,,2.354E-02
-7.506E-05,,,2.451E-02
-7.799E-05,,,2.524E-02
-7.335E-05,,,2.463E-02
-7.946E-05,,,2.451E-02
-8.581E-05,,,2.439E-02
-7.433E-05,,,2.451E-02
-8.556E-05,,,2.390E-02
-7.628E-05,,,2.427E-02
-7.604E-05,,,2.427E-02
-8.214E-05,,,2.451E-02
-6.994E-05,,,2.439E-02
-7.995E-05,,,2.402E-02
-7.360E-05,,,2.366E-02
-8.019E-05,,,2.378E-02
-6.896E-05,,,2.439E-02
-7.140E-05,,,2.366E-02
-8.556E-05,,,2.415E-02
-8.678E-05,,,2.354E-02
-8.361E-05,,,2.451E-02
-7.189E-05,,,2.402E-02
-7.287E-05,,,2.427E-02
-7.042E-05,,,2.476E-02
-7.555E-05,,,2.439E-02
-7.140E-05,,,2.463E-02
-7.409E-05,,,2.402E-02
-8.581E-05,,,2.402E-02
-7.555E-05,,,2.451E-02
-6.969E-05,,,2.366E-02
-7.042E-05,,,2.463E-02
-7.335E-05,,,2.378E-02
-7.628E-05,,,2.415E-02
-8.288E-05,,,2.439E-02
-7.262E-05,,,2.463E-02
-8.263E-05,,,2.500E-02
-8.361E-05,,,2.451E-02
-7.873E-05,,,2.463E-02
-7.189E-05,,,2.366E-02
-8.141E-05,,,2.463E-02
-8.019E-05,,,2.439E-02
-6.945E-05,,,2.439E-02
-8.385E-05,,,2.512E-02
-6.945E-05,,,2.427E-02
-7.165E-05,,,2.451E-02
-7.775E-05,,,2.451E-02
-7.677E-05,,,2.500E-02
-7.824E-05,,,2.488E-02
-7.287E-05,,,2.451E-02
-6.701E-05,,,2.463E-02
-6.945E-05,,,2.500E-02
-7.726E-05,,,2.427E-02
-7.091E-05,,,2.463E-02
-6.823E-05,,,2.488E-02
-7.140E-05,,,2.427E-02
-7.238E-05,,,2.488E-02
-6.969E-05,,,2.500E-02
-7.067E-05,,,2.512E-02
-6.994E-05,,,2.549E-02
-6.798E-05,,,2.512E-02
-6.969E-05,,,2.451E-02
-7.653E-05,,,2.451E-02
-7.458E-05,,,2.439E-02
-7.140E-05,,,2.488E-02
-8.263E-05,,,2.427E-02
-6.627E-05,,,2.451E-02
-7.604E-05,,,2.524E-02
-7.409E-05,,,2.463E-02
-7.067E-05,,,2.488E-02
-7.018E-05,,,2.439E-02
-7.799E-05,,,2.488E-02
-7.848E-05,,,2.500E-02
-8.190E-05,,,2.512E-02
-7.287E-05,,,2.439E-02
-7.238E-05,,,2.427E-02
-6.872E-05,,,2.524E-02
-7.750E-05,,,2.524E-02
-7.384E-05,,,2.585E-02
-6.920E-05,,,2.268E-02
-6.969E-05,,,2.146E-02
-7.726E-05,,,2.329E-02
-1.558E-03,,,1.072E+00
-6.686E-03,,,3.062E-02
-6.399E-03,,,2.488E-02
-6.493E-03,,,2.512E-02
-6.345E-03,,,2.439E-02
-6.120E-03,,,2.585E-02
-6.242E-03,,,2.488E-02
-6.041E-03,,,2.463E-02
-5.984E-03,,,2.476E-02
-5.952E-03,,,2.463E-02
-5.841E-03,,,2.451E-02
-5.962E-03,,,2.500E-02
-5.764E-03,,,2.451E-02
-5.653E-03,,,2.439E-02
-5.740E-03,,,2.402E-02
-5.640E-03,,,2.427E-02
-5.668E-03,,,2.439E-02
-5.393E-03,,,2.415E-02
-5.342E-03,,,2.415E-02
-5.321E-03,,,2.390E-02
-5.171E-03,,,2.378E-02
-5.284E-03,,,2.366E-02
-5.077E-03,,,2.439E-02
-5.030E-03,,,2.439E-02
-4.964E-03,,,2.390E-02
-4.809E-03,,,2.390E-02
-4.860E-03,,,2.366E-02
-4.704E-03,,,2.427E-02
-4.978E-03,,,2.427E-02
-4.594E-03,,,2.390E-02
-4.726E-03,,,2.366E-02
-4.360E-03,,,2.415E-02
-4.718E-03,,,2.451E-02
-4.618E-03,,,2.378E-02
-4.377E-03,,,2.390E-02
-4.324E-03,,,2.463E-02
-4.314E-03,,,2.354E-02
-4.304E-03,,,2.476E-02
-4.114E-03,,,2.402E-02
-4.126E-03,,,2.451E-02
-4.213E-03,,,2.390E-02
-4.054E-03,,,2.439E-02
-4.206E-03,,,2.427E-02
-3.921E-03,,,2.439E-02
-3.731E-03,,,2.500E-02
-4.000E-03,,,2.390E-02
-3.605E-03,,,2.427E-02
-3.639E-03,,,2.439E-02
-3.718E-03,,,2.390E-02
-3.624E-03,,,2.476E-02
-3.769E-03,,,2.451E-02
-3.614E-03,,,2.415E-02
-3.581E-03,,,2.463E-02
-3.530E-03,,,2.415E-02
-3.395E-03,,,2.463E-02
-3.277E-03,,,2.451E-02
-3.449E-03,,,2.451E-02
-3.286E-03,,,2.427E-02
-3.302E-03,,,2.439E-02
-3.161E-03,,,2.366E-02
-3.334E-03,,,2.463E-02
-3.061E-03,,,2.573E-02
-3.108E-03,,,2.500E-02
-3.105E-03,,,2.488E-02
-3.075E-03,,,2.512E-02
-2.901E-03,,,2.512E-02
-3.043E-03,,,2.463E-02
-2.724E-03,,,2.476E-02
-2.875E-03,,,2.476E-02
-2.792E-03,,,2.451E-02
-2.877E-03,,,2.451E-02
-2.834E-03,,,2.500E-02
-2.763E-03,,,2.488E-02
-2.878E-03,,,2.512E-02
-2.624E-03,,,2.451E-02
-2.663E-03,,,2.451E-02
-2.627E-03,,,2.439E-02
-2.582E-03,,,2.500E-02
-2.390E-03,,,2.427E-02
-2.623E-03,,,2.415E-02
-2.473E-03,,,2.476E-02
-2.463E-03,,,2.476E-02
-2.543E-03,,,2.415E-02
-2.536E-03,,,2.463E-02
-2.253E-03,,,2.415E-02
-2.422E-03,,,2.427E-02
-2.357E-03,,,2.488E-02
-2.337E-03,,,2.402E-02
-2.424E-03,,,2.427E-02
-2.446E-03,,,2.378E-02
-2.136E-03,,,2.537E-02
-2.217E-03,,,2.451E-02
-2.216E-03,,,2.415E-02
-2.232E-03,,,2.402E-02
-2.176E-03,,,2.390E-02
-2.173E-03,,,2.341E-02
-1.996E-03,,,2.451E-02
-1.879E-03,,,2.366E-02
-2.126E-03,,,2.427E-02
-1.906E-03,,,2.366E-02
-1.982E-03,,,2.402E-02
-1.948E-03,,,2.463E-02
-1.863E-03,,,2.390E-02
-1.984E-03,,,2.439E-02
-1.964E-03,,,2.402E-02
-1.939E-03,,,2.415E-02
-1.913E-03,,,2.451E-02
-1.823E-03,,,2.439E-02
-1.751E-03,,,2.341E-02
-1.669E-03,,,2.390E-02
-1.747E-03,,,2.463E-02
-1.576E-03,,,2.305E-02
-1.651E-03,,,2.415E-02
-1.620E-03,,,2.390E-02
-1.681E-03,,,2.451E-02
-1.654E-03,,,2.354E-02
-1.564E-03,,,2.439E-02
-1.589E-03,,,2.341E-02
-1.561E-03,,,2.329E-02
-1.527E-03,,,2.329E-02
-1.469E-03,,,2.366E-02
-1.468E-03,,,2.402E-02
-1.495E-03,,,2.463E-02
-1.572E-03,,,2.378E-02
-1.388E-03,,,2.415E-02
-1.380E-03,,,2.354E-02
-1.435E-03,,,2.378E-02
-1.301E-03,,,2.329E-02
-1.294E-03,,,2.463E-02
-1.543E-03,,,2.402E-02
-1.437E-03,,,2.354E-02
-1.236E-03,,,2.378E-02
-1.376E-03,,,2.354E-02
-1.319E-03,,,2.439E-02
-1.294E-03,,,2.354E-02
-1.153E-03,,,2.378E-02
-1.233E-03,,,2.341E-02
-1.254E-03,,,2.402E-02
-1.167E-03,,,2.378E-02
-1.124E-03,,,2.451E-02
-1.175E-03,,,2.341E-02
-1.169E-03,,,2.378E-02
-1.221E-03,,,2.415E-02
-1.176E-03,,,2.488E-02
-1.153E-03,,,2.415E-02
-1.163E-03,,,2.366E-02
-1.225E-03,,,2.305E-02
-1.219E-03,,,2.451E-02
-1.028E-03,,,2.463E-02
-1.097E-03,,,2.402E-02
-9.949E-04,,,2.463E-02
-1.151E-03,,,2.439E-02
-1.083E-03,,,2.341E-02
-1.017E-03,,,2.402E-02
-1.169E-03,,,2.463E-02
-9.634E-04,,,2.366E-02
-1.010E-03,,,2.390E-02
-9.852E-04,,,2.378E-02
-8.780E-04,,,2.415E-02
-9.471E-04,,,2.390E-02
-9.569E-04,,,2.463E-02
-8.616E-04,,,2.427E-02
-8.858E-04,,,2.451E-02
-8.499E-04,,,2.341E-02
-8.040E-04,,,2.451E-02
-8.909E-04,,,2.390E-02
-8.550E-04,,,2.427E-02
-9.551E-04,,,2.390E-02
-8.209E-04,,,2.378E-02
-8.048E-04,,,2.378E-02
-8.311E-04,,,2.378E-02
-8.738E-04,,,2.317E-02
-8.463E-04,,,2.463E-02
-7.108E-04,,,2.366E-02
-7.349E-04,,,2.390E-02
-8.885E-04,,,2.415E-02
-7.933E-04,,,2.390E-02
-7.269E-04,,,2.354E-02
-8.712E-04,,,2.354E-02
-7.518E-04,,,2.390E-02
-7.750E-04,,,2.390E-02
-7.442E-04,,,2.366E-02
-7.591E-04,,,2.305E-02
-7.318E-04,,,2.390E-02
-5.826E-04,,,2.329E-02
-7.239E-04,,,2.402E-02
-7.020E-04,,,2.317E-02
-6.829E-04,,,2.354E-02
-6.898E-04,,,2.354E-02
-7.320E-04,,,2.317E-02
-7.174E-04,,,2.305E-02
-6.795E-04,,,2.244E-02
-5.865E-04,,,2.329E-02
-6.383E-04,,,2.329E-02
-7.537E-04,,,2.305E-02
-6.595E-04,,,2.390E-02
-6.944E-04,,,2.317E-02
-5.723E-04,,,2.305E-02
-6.329E-04,,,2.378E-02
-5.423E-04,,,2.268E-02
-6.016E-04,,,2.341E-02
-6.138E-04,,,2.329E-02
-5.838E-04,,,2.354E-02
-5.640E-04,,,2.341E-02
-5.675E-04,,,2.415E-02
-5.018E-04,,,2.305E-02
-5.445E-04,,,2.354E-02
-5.316E-04,,,2.378E-02
-5.057E-04,,,2.341E-02
-5.360E-04,,,2.341E-02
-5.093E-04,,,2.390E-02
-5.455E-04,,,2.427E-02
-4.586E-04,,,2.354E-02
-4.998E-04,,,2.415E-02
-4.803E-04,,,2.305E-02
-5.101E-04,,,2.354E-02
-4.739E-04,,,2.402E-02
-5.081E-04,,,2.366E-02
-5.020E-04,,,2.378E-02
-4.368E-04,,,2.354E-02
-4.766E-04,,,2.366E-02
-4.210E-04,,,2.378E-02
-5.738E-04,,,2.366E-02
-4.688E-04,,,2.390E-02
