ModelName,DS-5624A
FileVersion,6
Acquisition Time,2022/07/19 19:05:57
Time/div(second),2E-03
Delay(second),-6.04E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,99
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,200E-03
CH3 Volt/div,100E-03
CH4 Volt/div,1.00E+00
CH1 Offset,5.88E-03
CH2 Offset,100E-03
CH3 Offset,-50.0E-03
CH4 Offset,-1.52E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-6.847E-05,,,2.024E-02
-7.018E-05,,,1.926E-02
-8.288E-05,,,1.938E-02
-6.652E-05,,,1.926E-02
-6.432E-05,,,1.951E-02
-7.165E-05,,,1.841E-02
-7.091E-05,,,1.938E-02
-7.116E-05,,,1.963E-02
-7.067E-05,,,1.938E-02
-8.190E-05,,,1.975E-02
-6.627E-05,,,1.914E-02
-6.725E-05,,,1.865E-02
-6.969E-05,,,1.951E-02
-6.579E-05,,,1.926E-02
-7.189E-05,,,1.914E-02
-6.969E-05,,,1.938E-02
-8.776E-05,,,1.987E-02
-8.068E-05,,,1.938E-02
-7.067E-05,,,1.877E-02
-7.042E-05,,,1.926E-02
-7.409E-05,,,1.951E-02
-7.042E-05,,,1.926E-02
-7.165E-05,,,1.902E-02
-6.994E-05,,,1.877E-02
-7.311E-05,,,1.853E-02
-6.920E-05,,,1.890E-02
-6.920E-05,,,1.829E-02
-6.896E-05,,,1.890E-02
-7.409E-05,,,1.865E-02
-7.824E-05,,,1.816E-02
-7.335E-05,,,1.890E-02
-7.165E-05,,,1.804E-02
-6.945E-05,,,1.829E-02
-7.409E-05,,,1.853E-02
-7.189E-05,,,1.853E-02
-7.238E-05,,,1.865E-02
-8.581E-05,,,1.829E-02
-7.311E-05,,,1.841E-02
-7.067E-05,,,1.890E-02
-6.945E-05,,,1.816E-02
-7.213E-05,,,1.841E-02
-7.091E-05,,,1.853E-02
-7.287E-05,,,1.926E-02
-6.994E-05,,,1.877E-02
-7.189E-05,,,1.804E-02
-7.189E-05,,,1.841E-02
-7.433E-05,,,1.890E-02
-7.189E-05,,,1.816E-02
-9.630E-05,,,1.914E-02
-7.482E-05,,,1.792E-02
-7.360E-05,,,1.877E-02
-7.482E-05,,,1.865E-02
-8.507E-05,,,1.951E-02
-7.531E-05,,,1.853E-02
-7.604E-05,,,1.841E-02
-7.116E-05,,,1.902E-02
-7.360E-05,,,1.841E-02
-7.140E-05,,,1.914E-02
-8.312E-05,,,1.890E-02
-6.676E-05,,,1.865E-02
-6.652E-05,,,1.938E-02
-6.920E-05,,,1.890E-02
-6.896E-05,,,1.951E-02
-6.725E-05,,,1.877E-02
-6.823E-05,,,1.938E-02
-6.920E-05,,,1.926E-02
-7.384E-05,,,1.926E-02
-6.896E-05,,,1.926E-02
-7.067E-05,,,1.951E-02
-6.725E-05,,,1.890E-02
-6.579E-05,,,1.938E-02
-7.116E-05,,,1.914E-02
-7.287E-05,,,1.987E-02
-6.823E-05,,,1.963E-02
-7.653E-05,,,1.938E-02
-7.506E-05,,,1.938E-02
-7.091E-05,,,2.000E-02
-6.750E-05,,,1.963E-02
-6.603E-05,,,1.951E-02
-6.359E-05,,,1.938E-02
-8.092E-05,,,2.024E-02
-7.458E-05,,,1.877E-02
-6.554E-05,,,1.914E-02
-7.018E-05,,,1.987E-02
-6.457E-05,,,1.914E-02
-6.701E-05,,,1.987E-02
-6.774E-05,,,1.902E-02
-7.311E-05,,,1.963E-02
-6.750E-05,,,2.012E-02
-6.969E-05,,,1.914E-02
-7.042E-05,,,1.951E-02
-7.238E-05,,,2.000E-02
-7.165E-05,,,1.926E-02
-7.311E-05,,,1.914E-02
-6.823E-05,,,2.000E-02
-6.896E-05,,,1.694E-02
-6.505E-05,,,1.609E-02
-7.458E-05,,,1.694E-02
-1.119E-04,,,1.110E+00
-6.530E-05,,,2.390E-02
-6.676E-05,,,2.012E-02
-6.286E-05,,,2.024E-02
-6.237E-05,,,2.000E-02
-7.287E-05,,,2.036E-02
-7.458E-05,,,1.963E-02
-7.287E-05,,,1.890E-02
-6.603E-05,,,1.951E-02
-6.994E-05,,,1.926E-02
-6.896E-05,,,1.877E-02
-6.823E-05,,,1.902E-02
-6.627E-05,,,1.853E-02
-6.994E-05,,,1.914E-02
-6.774E-05,,,1.890E-02
-7.409E-05,,,1.951E-02
-7.458E-05,,,1.890E-02
-7.628E-05,,,1.902E-02
-6.994E-05,,,1.890E-02
-8.336E-05,,,1.926E-02
-7.262E-05,,,1.816E-02
-6.847E-05,,,1.853E-02
-7.042E-05,,,1.853E-02
-7.091E-05,,,1.938E-02
-6.969E-05,,,1.877E-02
-7.482E-05,,,1.829E-02
-6.823E-05,,,1.853E-02
-7.458E-05,,,1.853E-02
-6.847E-05,,,1.877E-02
-6.798E-05,,,1.853E-02
-7.238E-05,,,1.816E-02
-7.653E-05,,,1.853E-02
-8.068E-05,,,1.865E-02
-8.654E-05,,,1.890E-02
-7.335E-05,,,1.841E-02
-7.799E-05,,,1.829E-02
-7.067E-05,,,1.780E-02
-6.823E-05,,,1.780E-02
-8.019E-05,,,1.890E-02
-8.043E-05,,,1.841E-02
-6.701E-05,,,1.829E-02
-7.384E-05,,,1.877E-02
-8.532E-05,,,2.000E-02
-6.408E-05,,,1.926E-02
-7.555E-05,,,1.877E-02
-6.945E-05,,,1.890E-02
-7.213E-05,,,1.914E-02
-7.213E-05,,,1.963E-02
-6.701E-05,,,1.914E-02
-6.750E-05,,,1.877E-02
-7.042E-05,,,1.975E-02
-8.751E-05,,,1.877E-02
-6.872E-05,,,1.914E-02
-6.969E-05,,,1.877E-02
-6.847E-05,,,1.914E-02
-6.774E-05,,,1.914E-02
-6.823E-05,,,1.853E-02
-6.823E-05,,,1.963E-02
-6.847E-05,,,1.890E-02
-8.825E-05,,,1.963E-02
-6.701E-05,,,1.914E-02
-6.652E-05,,,1.926E-02
-6.798E-05,,,1.926E-02
-8.361E-05,,,1.951E-02
-6.286E-05,,,1.902E-02
-7.750E-05,,,1.865E-02
-7.433E-05,,,1.926E-02
-6.579E-05,,,1.902E-02
-7.921E-05,,,1.987E-02
-6.505E-05,,,1.877E-02
-6.872E-05,,,1.926E-02
-5.968E-05,,,1.938E-02
-6.579E-05,,,1.951E-02
-7.653E-05,,,1.890E-02
-6.603E-05,,,1.963E-02
-6.579E-05,,,1.902E-02
-7.946E-05,,,1.951E-02
-6.725E-05,,,1.865E-02
-7.775E-05,,,1.902E-02
-7.946E-05,,,2.000E-02
-6.750E-05,,,1.890E-02
-8.410E-05,,,1.902E-02
-7.946E-05,,,1.951E-02
-7.946E-05,,,1.902E-02
-6.920E-05,,,1.951E-02
-6.969E-05,,,1.890E-02
-8.507E-05,,,1.963E-02
-6.383E-05,,,1.914E-02
-7.726E-05,,,1.890E-02
-6.579E-05,,,1.926E-02
-6.627E-05,,,1.877E-02
-8.751E-05,,,1.914E-02
-6.847E-05,,,1.853E-02
-6.994E-05,,,1.853E-02
-7.042E-05,,,1.804E-02
-7.580E-05,,,1.877E-02
-9.459E-05,,,1.938E-02
-6.969E-05,,,1.902E-02
-6.945E-05,,,1.914E-02
-7.433E-05,,,1.902E-02
-8.068E-05,,,1.865E-02
-8.312E-05,,,1.865E-02
-6.823E-05,,,1.804E-02
-6.994E-05,,,1.877E-02
-7.189E-05,,,1.877E-02
-7.091E-05,,,1.804E-02
-7.189E-05,,,1.890E-02
-7.287E-05,,,1.890E-02
-7.262E-05,,,1.865E-02
-6.896E-05,,,1.963E-02
-7.335E-05,,,1.902E-02
-8.019E-05,,,1.865E-02
-6.994E-05,,,1.938E-02
-6.920E-05,,,1.829E-02
-6.798E-05,,,1.926E-02
-6.725E-05,,,1.841E-02
-9.728E-05,,,1.829E-02
-8.800E-05,,,1.926E-02
-6.725E-05,,,1.853E-02
-7.116E-05,,,1.975E-02
-7.287E-05,,,1.902E-02
-7.335E-05,,,1.865E-02
-7.433E-05,,,1.951E-02
-6.823E-05,,,1.902E-02
-6.872E-05,,,1.902E-02
-8.141E-05,,,1.902E-02
-6.603E-05,,,1.877E-02
-6.334E-05,,,1.877E-02
-7.018E-05,,,1.841E-02
-6.652E-05,,,1.804E-02
-6.603E-05,,,1.865E-02
-8.019E-05,,,1.829E-02
-6.627E-05,,,1.877E-02
-7.677E-05,,,1.792E-02
-7.824E-05,,,1.792E-02
-7.726E-05,,,1.841E-02
-7.409E-05,,,1.865E-02
-7.140E-05,,,1.865E-02
-6.847E-05,,,1.804E-02
-6.505E-05,,,1.865E-02
-7.775E-05,,,1.743E-02
-6.994E-05,,,1.890E-02
-7.506E-05,,,1.804E-02
-6.994E-05,,,1.890E-02
-7.433E-05,,,1.853E-02
-7.067E-05,,,1.829E-02
-6.652E-05,,,1.877E-02
-7.238E-05,,,1.780E-02
-7.091E-05,,,1.926E-02
-6.750E-05,,,1.926E-02
-6.481E-05,,,1.914E-02
-7.311E-05,,,1.877E-02
-6.334E-05,,,1.902E-02
-6.505E-05,,,1.829E-02
-6.823E-05,,,1.804E-02
-6.994E-05,,,1.853E-02
-8.019E-05,,,1.841E-02
-6.603E-05,,,1.902E-02
-6.261E-05,,,1.890E-02
-7.042E-05,,,1.902E-02
-6.945E-05,,,1.804E-02
-8.092E-05,,,1.841E-02
-7.287E-05,,,1.865E-02
-6.725E-05,,,1.841E-02
-8.361E-05,,,1.890E-02
-6.847E-05,,,1.914E-02
-6.896E-05,,,1.938E-02
-6.774E-05,,,1.853E-02
-6.359E-05,,,1.841E-02
-6.530E-05,,,1.877E-02
-7.360E-05,,,1.865E-02
-6.334E-05,,,1.877E-02
-7.042E-05,,,1.780E-02
-7.116E-05,,,1.902E-02
-6.945E-05,,,1.963E-02
-6.847E-05,,,1.890E-02
-7.042E-05,,,1.829E-02
-7.140E-05,,,1.853E-02
-6.969E-05,,,1.804E-02
-8.385E-05,,,1.853E-02
-7.140E-05,,,1.853E-02
-7.873E-05,,,1.841E-02
-8.117E-05,,,1.841E-02
-7.531E-05,,,1.816E-02
-6.920E-05,,,1.792E-02
-6.798E-05,,,1.755E-02
-7.067E-05,,,1.816E-02
-7.946E-05,,,1.743E-02
-7.116E-05,,,1.841E-02
-7.067E-05,,,1.865E-02
-6.603E-05,,,1.743E-02
-7.262E-05,,,1.853E-02
-6.847E-05,,,1.780E-02
-7.531E-05,,,1.743E-02
-7.116E-05,,,1.719E-02
-7.433E-05,,,1.816E-02
-7.116E-05,,,1.865E-02
-7.213E-05,,,1.792E-02
-8.434E-05,,,1.877E-02
-7.458E-05,,,1.743E-02
-7.067E-05,,,1.743E-02
-8.019E-05,,,1.780E-02
-7.409E-05,,,1.841E-02
-6.847E-05,,,1.804E-02
-6.481E-05,,,1.792E-02
-7.140E-05,,,1.792E-02
-7.018E-05,,,1.804E-02
-8.727E-05,,,1.853E-02
-7.311E-05,,,1.792E-02
-7.848E-05,,,1.841E-02
-6.920E-05,,,1.768E-02
-7.335E-05,,,1.804E-02
-7.238E-05,,,1.853E-02
-7.848E-05,,,1.902E-02
-8.288E-05,,,1.829E-02
-6.896E-05,,,1.743E-02
-6.603E-05,,,1.780E-02
-6.969E-05,,,1.829E-02
-6.872E-05,,,1.853E-02
-6.530E-05,,,1.841E-02
-6.725E-05,,,1.829E-02
-7.750E-05,,,1.865E-02
-6.359E-05,,,1.829E-02
-7.433E-05,,,1.804E-02
-6.725E-05,,,1.829E-02
-6.823E-05,,,1.853E-02
-7.531E-05,,,1.841E-02
-7.140E-05,,,1.841E-02
-6.676E-05,,,1.902E-02
-7.262E-05,,,1.877E-02
-7.189E-05,,,1.890E-02
-6.676E-05,,,1.829E-02
-7.213E-05,,,1.877E-02
-6.750E-05,,,1.853E-02
-7.116E-05,,,1.902E-02
-6.579E-05,,,1.841E-02
-6.603E-05,,,1.877E-02
-7.433E-05,,,1.865E-02
-8.605E-05,,,1.926E-02
-6.872E-05,,,1.877E-02
-7.458E-05,,,1.951E-02
-8.092E-05,,,1.829E-02
-6.652E-05,,,1.865E-02
-7.140E-05,,,1.816E-02
-8.214E-05,,,1.853E-02
-6.945E-05,,,1.865E-02
-6.896E-05,,,1.804E-02
-7.091E-05,,,1.890E-02
-6.798E-05,,,1.841E-02
-6.994E-05,,,1.865E-02
-7.824E-05,,,1.841E-02
-7.311E-05,,,1.914E-02
-7.775E-05,,,1.841E-02
-7.555E-05,,,1.865E-02
-7.458E-05,,,1.877E-02
-6.627E-05,,,1.853E-02
-8.458E-05,,,1.829E-02
-8.117E-05,,,1.853E-02
-7.018E-05,,,1.829E-02
-6.847E-05,,,1.853E-02
-7.042E-05,,,1.816E-02
-6.676E-05,,,1.853E-02
-7.921E-05,,,1.890E-02
-8.117E-05,,,1.853E-02
-8.825E-05,,,1.768E-02
-7.360E-05,,,1.755E-02
-7.018E-05,,,1.816E-02
-6.896E-05,,,1.792E-02
-7.238E-05,,,1.804E-02
-6.969E-05,,,1.768E-02
-6.652E-05,,,1.877E-02
-8.751E-05,,,1.804E-02
-7.091E-05,,,1.804E-02
-7.213E-05,,,1.768E-02
-7.384E-05,,,1.768E-02
-7.287E-05,,,1.792E-02
-7.824E-05,,,1.816E-02
-6.334E-05,,,1.780E-02
-7.287E-05,,,1.816E-02
-7.384E-05,,,1.804E-02
-6.823E-05,,,1.804E-02
-7.775E-05,,,1.780E-02
-8.361E-05,,,1.792E-02
-7.140E-05,,,1.829E-02
-7.018E-05,,,1.877E-02
-6.847E-05,,,1.780E-02
-7.311E-05,,,1.731E-02
-6.823E-05,,,1.755E-02
-6.725E-05,,,1.780E-02
-7.189E-05,,,1.816E-02
-7.067E-05,,,1.780E-02
-8.458E-05,,,1.780E-02
-7.628E-05,,,1.731E-02
-9.948E-05,,,1.755E-02
-7.653E-05,,,1.841E-02
-7.140E-05,,,1.804E-02
-7.580E-05,,,1.694E-02
