ModelName,DS-5624A
FileVersion,6
Acquisition Time,2022/07/19 17:33:27
Time/div(second),2E-03
Delay(second),-6.04E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,99
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,200E-03
CH3 Volt/div,100E-03
CH4 Volt/div,1.00E+00
CH1 Offset,5.88E-03
CH2 Offset,100E-03
CH3 Offset,-50.0E-03
CH4 Offset,-1.52E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-7.653E-05,,,2.463E-02
-1.019E-04,,,2.439E-02
-7.677E-05,,,2.427E-02
-7.995E-05,,,2.415E-02
-8.214E-05,,,2.354E-02
-7.604E-05,,,2.402E-02
-8.751E-05,,,2.402E-02
-8.263E-05,,,2.427E-02
-8.141E-05,,,2.415E-02
-7.824E-05,,,2.402E-02
-8.166E-05,,,2.415E-02
-7.726E-05,,,2.390E-02
-7.775E-05,,,2.390E-02
-7.799E-05,,,2.390E-02
-8.141E-05,,,2.341E-02
-8.629E-05,,,2.427E-02
-8.117E-05,,,2.390E-02
-7.799E-05,,,2.427E-02
-7.653E-05,,,2.366E-02
-8.288E-05,,,2.329E-02
-7.873E-05,,,2.378E-02
-8.288E-05,,,2.329E-02
-7.799E-05,,,2.378E-02
-8.263E-05,,,2.390E-02
-8.043E-05,,,2.317E-02
-7.604E-05,,,2.415E-02
-7.946E-05,,,2.427E-02
-7.799E-05,,,2.427E-02
-8.092E-05,,,2.366E-02
-8.117E-05,,,2.329E-02
-7.628E-05,,,2.354E-02
-8.043E-05,,,2.366E-02
-8.288E-05,,,2.354E-02
-8.043E-05,,,2.427E-02
-8.727E-05,,,2.366E-02
-8.239E-05,,,2.341E-02
-7.921E-05,,,2.402E-02
-7.897E-05,,,2.415E-02
-9.533E-05,,,2.451E-02
-8.117E-05,,,2.427E-02
-8.776E-05,,,2.366E-02
-8.239E-05,,,2.402E-02
-7.799E-05,,,2.329E-02
-1.090E-04,,,2.476E-02
-7.262E-05,,,2.427E-02
-9.191E-05,,,2.390E-02
-9.289E-05,,,2.451E-02
-7.995E-05,,,2.415E-02
-7.384E-05,,,2.463E-02
-7.555E-05,,,2.439E-02
-7.580E-05,,,2.451E-02
-7.848E-05,,,2.451E-02
-8.434E-05,,,2.402E-02
-7.970E-05,,,2.451E-02
-7.506E-05,,,2.463E-02
-8.825E-05,,,2.476E-02
-7.897E-05,,,2.378E-02
-9.289E-05,,,2.402E-02
-7.921E-05,,,2.451E-02
-9.337E-05,,,2.488E-02
-7.775E-05,,,2.512E-02
-8.312E-05,,,2.488E-02
-7.531E-05,,,2.500E-02
-7.775E-05,,,2.402E-02
-8.483E-05,,,2.573E-02
-9.362E-05,,,2.524E-02
-7.921E-05,,,2.488E-02
-7.799E-05,,,2.463E-02
-8.117E-05,,,2.476E-02
-8.581E-05,,,2.488E-02
-7.628E-05,,,2.415E-02
-7.726E-05,,,2.524E-02
-8.068E-05,,,2.476E-02
-7.775E-05,,,2.512E-02
-9.289E-05,,,2.463E-02
-7.897E-05,,,2.524E-02
-7.848E-05,,,2.439E-02
-7.653E-05,,,2.366E-02
-7.824E-05,,,2.512E-02
-8.214E-05,,,2.439E-02
-9.923E-05,,,2.451E-02
-8.166E-05,,,2.427E-02
-8.068E-05,,,2.415E-02
-8.239E-05,,,2.415E-02
-8.263E-05,,,2.488E-02
-8.214E-05,,,2.378E-02
-7.677E-05,,,2.378E-02
-7.897E-05,,,2.402E-02
-8.825E-05,,,2.415E-02
-8.019E-05,,,2.427E-02
-8.507E-05,,,2.451E-02
-7.604E-05,,,2.451E-02
-8.410E-05,,,2.415E-02
-8.117E-05,,,2.341E-02
-9.166E-05,,,2.378E-02
-8.507E-05,,,2.195E-02
-7.824E-05,,,2.000E-02
-7.824E-05,,,2.244E-02
-5.421E-04,,,1.138E+00
-2.032E-03,,,2.976E-02
