ModelName,DS-5624A
FileVersion,6
Acquisition Time,2022/07/19 18:21:00
Time/div(second),2E-03
Delay(second),-6.04E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,99
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,200E-03
CH3 Volt/div,100E-03
CH4 Volt/div,1.00E+00
CH1 Offset,5.88E-03
CH2 Offset,100E-03
CH3 Offset,-50.0E-03
CH4 Offset,-1.52E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-7.042E-05,,,1.963E-02
-8.410E-05,,,2.048E-02
-8.410E-05,,,1.902E-02
-6.920E-05,,,2.000E-02
-7.238E-05,,,1.890E-02
-7.409E-05,,,1.926E-02
-7.873E-05,,,1.938E-02
-8.166E-05,,,1.975E-02
-7.360E-05,,,1.963E-02
-7.311E-05,,,2.000E-02
-7.653E-05,,,1.938E-02
-7.921E-05,,,1.890E-02
-7.897E-05,,,1.890E-02
-8.874E-05,,,1.914E-02
-8.410E-05,,,1.975E-02
-7.970E-05,,,1.951E-02
-7.873E-05,,,1.963E-02
-7.531E-05,,,1.926E-02
-7.921E-05,,,1.890E-02
-7.628E-05,,,1.926E-02
-7.335E-05,,,1.926E-02
-8.703E-05,,,1.890E-02
-7.702E-05,,,1.816E-02
-9.337E-05,,,1.890E-02
-8.214E-05,,,1.975E-02
-8.751E-05,,,1.890E-02
-7.287E-05,,,1.865E-02
-8.996E-05,,,1.841E-02
-7.946E-05,,,1.853E-02
-7.555E-05,,,1.890E-02
-7.506E-05,,,1.780E-02
-7.604E-05,,,1.890E-02
-7.335E-05,,,1.841E-02
-8.068E-05,,,1.890E-02
-7.580E-05,,,1.877E-02
-7.775E-05,,,1.938E-02
-7.702E-05,,,1.853E-02
-7.970E-05,,,1.853E-02
-7.628E-05,,,1.841E-02
-7.604E-05,,,1.829E-02
-7.433E-05,,,1.890E-02
-8.678E-05,,,1.926E-02
-7.775E-05,,,1.877E-02
-8.288E-05,,,1.926E-02
-7.750E-05,,,1.853E-02
-8.727E-05,,,1.914E-02
-7.848E-05,,,1.951E-02
-9.069E-05,,,1.938E-02
-7.702E-05,,,1.951E-02
-7.799E-05,,,1.938E-02
-7.677E-05,,,1.877E-02
-7.775E-05,,,1.902E-02
-8.458E-05,,,1.926E-02
-7.213E-05,,,1.938E-02
-8.117E-05,,,1.914E-02
-7.189E-05,,,1.914E-02
-7.262E-05,,,1.938E-02
-7.897E-05,,,1.890E-02
-8.971E-05,,,1.951E-02
