ModelName,DS-5624A
FileVersion,6
Acquisition Time,2022/07/19 11:20:34
Time/div(second),2E-03
Delay(second),-6.04E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,99
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,200E-03
CH3 Volt/div,100E-03
CH4 Volt/div,1.00E+00
CH1 Offset,5.88E-03
CH2 Offset,100E-03
CH3 Offset,-50.0E-03
CH4 Offset,-1.52E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC50
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
-7.433E-05,,,2.549E-02
-8.141E-05,,,2.512E-02
-5.919E-05,,,2.524E-02
-6.115E-05,,,2.476E-02
-6.652E-05,,,2.463E-02
-6.334E-05,,,2.488E-02
-7.995E-05,,,2.488E-02
-7.482E-05,,,2.524E-02
-6.188E-05,,,2.549E-02
-7.482E-05,,,2.427E-02
-6.359E-05,,,2.463E-02
-6.041E-05,,,2.500E-02
-6.481E-05,,,2.537E-02
-7.091E-05,,,2.415E-02
-7.189E-05,,,2.500E-02
-6.505E-05,,,2.451E-02
-6.774E-05,,,2.439E-02
-7.506E-05,,,2.488E-02
-7.018E-05,,,2.463E-02
-6.408E-05,,,2.427E-02
-6.481E-05,,,2.439E-02
-6.627E-05,,,2.476E-02
-6.823E-05,,,2.488E-02
-6.432E-05,,,2.415E-02
-7.555E-05,,,2.402E-02
-7.750E-05,,,2.390E-02
-7.580E-05,,,2.476E-02
-6.408E-05,,,2.390E-02
-8.239E-05,,,2.427E-02
-6.847E-05,,,2.500E-02
-6.603E-05,,,2.354E-02
-6.798E-05,,,2.415E-02
-8.166E-05,,,2.451E-02
-8.678E-05,,,2.402E-02
-7.775E-05,,,2.402E-02
-8.117E-05,,,2.415E-02
-7.799E-05,,,2.402E-02
-7.189E-05,,,2.402E-02
-6.627E-05,,,2.476E-02
-7.311E-05,,,2.463E-02
-8.971E-05,,,2.463E-02
-8.410E-05,,,2.451E-02
-7.921E-05,,,2.366E-02
-6.798E-05,,,2.451E-02
-7.287E-05,,,2.366E-02
-6.920E-05,,,2.354E-02
-7.287E-05,,,2.451E-02
-6.920E-05,,,2.402E-02
-8.019E-05,,,2.402E-02
-6.481E-05,,,2.402E-02
-6.481E-05,,,2.451E-02
-6.603E-05,,,2.451E-02
-7.042E-05,,,2.427E-02
-7.458E-05,,,2.427E-02
-6.701E-05,,,2.439E-02
-7.604E-05,,,2.512E-02
-6.774E-05,,,2.463E-02
-7.091E-05,,,2.561E-02
-6.823E-05,,,2.500E-02
-6.237E-05,,,2.439E-02
-6.896E-05,,,2.488E-02
-7.750E-05,,,2.439E-02
-7.262E-05,,,2.439E-02
-7.091E-05,,,2.488E-02
-7.311E-05,,,2.451E-02
-8.068E-05,,,2.439E-02
-8.068E-05,,,2.451E-02
-6.554E-05,,,2.439E-02
-6.579E-05,,,2.500E-02
-7.018E-05,,,2.439E-02
-6.554E-05,,,2.427E-02
-7.702E-05,,,2.512E-02
-6.554E-05,,,2.537E-02
-8.458E-05,,,2.537E-02
-7.726E-05,,,2.476E-02
-6.408E-05,,,2.451E-02
-6.261E-05,,,2.463E-02
-6.457E-05,,,2.512E-02
-6.383E-05,,,2.439E-02
