ModelName,DS-5624A
FileVersion,6
Acquisition Time,2026/06/02 21:05:46
Time/div(second),2E-03
Delay(second),-6.00E-03
Delta(second),40E-06
Acquisition Mode,Average,1024
Trigger Address,100
CH1 Display,On
CH2 Display,Off
CH3 Display,Off
CH4 Display,On
CH1 Volt/div,2.00E-03
CH2 Volt/div,100E-03
CH3 Volt/div,100E-03
CH4 Volt/div,2.00E+00
CH1 Offset,7.00E-03
CH2 Offset,50.0E-03
CH3 Offset,-50.0E-03
CH4 Offset,-6.00E+00
CH1 Coupling,DC50
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC1M
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,501
Ch1 V,Ch2 V,Ch3 V,Ch4 V
4.394E-06,,,-5.175E-02
-9.765E-07,,,-5.200E-02
-1.708E-06,,,-5.297E-02
3.662E-06,,,-5.200E-02
2.441E-07,,,-5.175E-02
8.300E-06,,,-5.273E-02
-2.441E-07,,,-5.249E-02
-3.173E-06,,,-5.200E-02
-2.441E-07,,,-5.175E-02
-5.126E-06,,,-5.200E-02
2.441E-06,,,-5.273E-02
-6.103E-06,,,-5.200E-02
-4.882E-06,,,-5.371E-02
-5.126E-06,,,-5.297E-02
-1.562E-05,,,-5.419E-02
-2.929E-06,,,-5.224E-02
-9.765E-07,,,-5.224E-02
-4.394E-06,,,-5.249E-02
-5.126E-06,,,-5.126E-02
-2.929E-06,,,-5.224E-02
9.765E-07,,,-5.297E-02
-4.394E-06,,,-5.322E-02
-1.074E-05,,,-5.175E-02
-3.173E-06,,,-5.175E-02
-3.173E-06,,,-5.297E-02
-2.441E-06,,,-5.273E-02
-4.882E-06,,,-5.297E-02
-4.882E-07,,,-5.419E-02
-3.906E-06,,,-5.224E-02
-4.638E-06,,,-5.126E-02
5.126E-06,,,-5.273E-02
3.417E-06,,,-5.395E-02
-1.220E-06,,,-5.297E-02
-1.708E-06,,,-5.249E-02
-2.929E-06,,,-5.200E-02
3.662E-06,,,-5.322E-02
-4.882E-06,,,-5.200E-02
-9.765E-07,,,-5.273E-02
-3.173E-06,,,-5.322E-02
-8.056E-06,,,-5.273E-02
9.765E-07,,,-5.249E-02
-6.347E-06,,,-5.297E-02
9.765E-07,,,-5.224E-02
0.000E-03,,,-5.297E-02
-2.441E-07,,,-5.249E-02
-5.615E-06,,,-5.126E-02
-3.173E-06,,,-5.151E-02
-4.882E-07,,,-5.249E-02
0.000E-03,,,-5.224E-02
-3.417E-06,,,-5.273E-02
-2.441E-06,,,-5.249E-02
4.882E-07,,,-5.322E-02
-4.394E-06,,,-5.224E-02
7.324E-07,,,-5.175E-02
-5.615E-06,,,-5.175E-02
-3.417E-06,,,-5.200E-02
9.765E-07,,,-5.175E-02
6.103E-06,,,-5.151E-02
1.953E-06,,,-5.224E-02
2.197E-06,,,-5.175E-02
-9.765E-07,,,-5.175E-02
2.929E-06,,,-5.249E-02
1.708E-06,,,-5.200E-02
-4.882E-06,,,-5.200E-02
-9.765E-07,,,-5.249E-02
-2.929E-06,,,-5.273E-02
-7.324E-06,,,-5.200E-02
5.859E-06,,,-5.175E-02
-3.662E-06,,,-5.249E-02
-8.056E-06,,,-5.126E-02
-7.812E-06,,,-5.200E-02
1.464E-06,,,-5.102E-02
-5.615E-06,,,-5.175E-02
3.417E-06,,,-5.200E-02
-9.765E-07,,,-5.151E-02
-1.464E-06,,,-5.175E-02
-5.859E-06,,,-5.273E-02
7.324E-06,,,-5.126E-02
-4.882E-07,,,-5.249E-02
4.638E-06,,,-5.297E-02
7.324E-07,,,-5.151E-02
9.765E-07,,,-5.249E-02
-1.953E-06,,,-5.200E-02
-4.882E-07,,,-5.200E-02
4.150E-06,,,-5.151E-02
2.685E-06,,,-5.102E-02
5.859E-06,,,-5.078E-02
3.173E-06,,,-5.297E-02
6.591E-06,,,-5.273E-02
2.441E-06,,,-5.395E-02
2.685E-06,,,-5.175E-02
1.220E-06,,,-5.322E-02
1.708E-06,,,-5.249E-02
-1.708E-06,,,-5.346E-02
-2.685E-06,,,-5.297E-02
3.906E-06,,,-5.273E-02
0.000E-03,,,-5.346E-02
-7.324E-07,,,-5.517E-02
-7.324E-07,,,-5.371E-02
-3.394E-03,,,1.730E+00
-4.826E-03,,,-2.832E-02
-4.497E-03,,,-5.126E-02
-4.243E-03,,,-5.371E-02
-4.041E-03,,,-5.346E-02
-3.767E-03,,,-5.200E-02
-3.614E-03,,,-5.224E-02
-3.484E-03,,,-5.322E-02
-3.245E-03,,,-5.249E-02
-3.123E-03,,,-5.322E-02
-2.882E-03,,,-5.249E-02
-2.809E-03,,,-5.126E-02
-2.784E-03,,,-5.322E-02
-2.671E-03,,,-5.322E-02
-2.469E-03,,,-5.224E-02
-2.347E-03,,,-5.297E-02
-2.225E-03,,,-5.200E-02
-2.168E-03,,,-5.273E-02
-1.994E-03,,,-5.273E-02
-1.957E-03,,,-5.297E-02
-1.958E-03,,,-5.224E-02
-1.805E-03,,,-5.322E-02
-1.665E-03,,,-5.297E-02
-1.600E-03,,,-5.249E-02
